[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[AG Prince (Afr/SA), 35.1, 67.77, 24.829, 7.31707]
[SK Warne (AUS/ICC), 13.05, 72.04, 9.514, 0.93458]
[SM Patil (INDIA), 24.51, 82.17, 23.929, 21.42857]
[KOA Powell (WI), 22.84, 78.63, 22.841, 20.45455]
[Rajin Saleh (BDESH), 23.92, 54.82, 23.372, 13.95349]
[PW Borren (NL), 22.31, 85.37, 20.080, 10.00000]
[NFI McCallum (SCOT), 27.83, 69.05, 23.857, 9.52381]
[Khaled Mahmud (BDESH), 14.36, 67.83, 13.764, 1.38889]
[BL Cairns (NZ), 16.72, 104.88, 15.185, 3.07692]
[MJ Slater (AUS), 24.07, 60.4, 23.500, 21.42857]
[MJ Horne (NZ), 20.41, 64.68, 20.417, 10.41667]
