[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[Asad Ali (PAK), 6.5, 81.25, 6.500, 0.00000]
[LS Baker (WI), 6.5, 56.52, 3.250, 0.00000]
[MD Bates (NZ), 13, 130, 13.000, 0.00000]
[GA Bishop (AUS), 6.5, 29.54, 6.500, 0.00000]
[GK Bose (INDIA), 13, 72.22, 13.000, 0.00000]
[NG Cowans (ENG), 2.6, 44.82, 1.625, 0.00000]
[HT Davis (NZ), 6.5, 39.39, 2.167, 0.00000]
[RR Emrit (WI), 13, 37.14, 6.500, 0.00000]
[Gurkeerat Singh (INDIA), 6.5, 100, 4.333, 0.00000]
[RL Hayes (NZ), 13, 52, 13.000, 0.00000]
[RO Hurley (WI), 3.25, 40.62, 3.250, 0.00000]
[D Joseph (CAN), 0, 54.16, 4.333, 0.00000]
[JJ Krejza (AUS), 13, 56.52, 6.500, 0.00000]
[AMN Munasinghe (SL), 4.33, 25, 3.250, 0.00000]
[B Regmi (NEPAL), 3.25, 27.65, 3.250, 0.00000]
[S Seeraj (CAN), 0, 108.33, 13.000, 0.00000]
[O Thomas (WI), 2.6, 24.52, 1.300, 0.00000]
[Usman Salahuddin (PAK), 6.5, 46.42, 6.500, 0.00000]
[HN Ya France (NAM), 13, 260, 6.500, 0.00000]
[Zaheer Maqsood (UAE), 0, 28.26, 6.500, 0.00000]
[Asim Saeed (UAE), 6, 63.15, 6.000, 0.00000]
[DM Basden (BMUDA), 6, 30.76, 6.000, 0.00000]
[GK Bruk-Jackson (ZIM), 12, 36.36, 12.000, 0.00000]
[Danish Kaneria (PAK), 6, 54.54, 1.200, 0.00000]
[IC Davis (AUS), 6, 34.28, 4.000, 0.00000]
[RP de Groen (NZ), 2.4, 33.33, 1.500, 0.00000]
[AM de Silva (SL), 6, 50, 6.000, 0.00000]
[R Dhawan (INDIA), 12, 92.3, 6.000, 0.00000]
[Enamul Haque jnr (BDESH), 3, 63.15, 2.400, 0.00000]
[M Hayward (SA), 3, 42.85, 2.400, 0.00000]
[Imtiaz Abbasi (UAE), 6, 31.57, 2.000, 0.00000]
[Javed Qadeer (PAK), 12, 52.17, 12.000, 0.00000]
[TJ Jenner (AUS), 12, 48, 12.000, 0.00000]
[AJ McKay (NZ), 4, 25.53, 1.200, 0.00000]
[PS Mehta (EAf), 12, 29.26, 12.000, 0.00000]
[PJK Mooney (IRE), 12, 133.33, 4.000, 0.00000]
[T Muzarabani (ZIM), 3, 30, 1.714, 0.00000]
[Naeemuddin Aslam (UAE), 6, 38.7, 6.000, 0.00000]
[TS Nethula (NZ), 6, 109.09, 4.000, 0.00000]
[Noor-ul-Haq (AFG), 6, 20.68, 6.000, 0.00000]
[EJ Richardson (IRE), 12, 66.66, 12.000, 0.00000]
[P Sarraf (NEPAL), 6, 66.66, 6.000, 0.00000]
[S Snater (NL), 6, 85.71, 6.000, 0.00000]
[Abul Hasan (BDESH), 3.66, 68.75, 3.667, 0.00000]
[Ahmed Kamal (BDESH), 11, 57.89, 11.000, 0.00000]
[MJD Allingham (SCOT), 3.66, 11.45, 3.667, 0.00000]
[Arshad Pervez (PAK), 5.5, 23.4, 5.500, 0.00000]
[J Blackwood (WI), 5.5, 47.82, 5.500, 0.00000]
[LJ Burger (NAM), 2.2, 17.74, 1.833, 0.00000]
[SF Burger (NAM), 5.5, 55, 5.500, 0.00000]
[PH Carlson (AUS), 5.5, 36.66, 5.500, 0.00000]
[BS Chandrasekhar (INDIA), 0, 84.61, 11.000, 0.00000]
[PA Emery (AUS), 0, 84.61, 11.000, 0.00000]
[Haafiz Shahid (PAK), 11, 47.82, 3.667, 0.00000]
[GW Humpage (ENG), 5.5, 45.83, 5.500, 0.00000]
[Jasdeep Singh (USA), 3.66, 28.2, 3.667, 0.00000]
[NGRP Jayasuriya (SL), 11, 84.61, 5.500, 0.00000]
[SMS Kaluperuma (SL), 5.5, 26.82, 5.500, 0.00000]
[SC Kuggeleijn (NZ), 0, 183.33, 11.000, 0.00000]
[NM Kulkarni (INDIA), 5.5, 55, 2.200, 0.00000]
[JA Maclean (AUS), 11, 33.33, 11.000, 0.00000]
[PM Pushpakumara (SL), 5.5, 42.3, 5.500, 0.00000]
[B Reddy (INDIA), 0, 55, 5.500, 0.00000]
[Saad Ali (PAK), 5.5, 47.82, 5.500, 0.00000]
[G Sharma (INDIA), 5.5, 45.83, 5.500, 0.00000]
[R Sharma (HKG), 5.5, 45.83, 5.500, 0.00000]
[FJ Titmus (ENG), 11, 34.37, 11.000, 0.00000]
[GD Watson (AUS), 11, 68.75, 5.500, 0.00000]
[JG Williamson (SCOT), 5.5, 31.42, 5.500, 0.00000]
[Zahid Shah (UAE), 0, 55, 5.500, 0.00000]
[TR Ambrose (ENG), 2.5, 29.41, 2.000, 0.00000]
[MA Aponso (SL), 3.33, 22.22, 1.429, 0.00000]
[Asif Masood (PAK), 5, 58.82, 3.333, 0.00000]
[HK Bennett (NZ), 5, 28.57, 1.429, 0.00000]
[D Brown (WI), 10, 50, 5.000, 0.00000]
[ML Cummins (WI), 5, 37.03, 3.333, 0.00000]
[DLS de Silva (SL), 10, 28.57, 10.000, 0.00000]
[JJ Esmeijer (NL), 2.5, 23.25, 2.000, 0.00000]
[B Geeves (AUS), 0, 90.9, 5.000, 0.00000]
[W Jaffer (INDIA), 5, 43.47, 5.000, 0.00000]
[Kabir Khan (PAK), 10, 40, 2.000, 0.00000]
[AV Kale (INDIA), 10, 45.45, 10.000, 0.00000]
[NJ MacRae (SCOT), 5, 27.77, 5.000, 0.00000]
[CA Marshall (CAN), 5, 24.39, 5.000, 0.00000]
[A Martin (WI), 10, 34.48, 1.667, 0.00000]
[BMW Patterson (SCOT), 3.33, 23.25, 3.333, 0.00000]
[Shabbir Ahmed (PAK), 1.66, 34.48, 0.909, 0.00000]
[Shariful Haque (BDESH), 10, 166.66, 10.000, 0.00000]
[RAJ Smith (SCOT), 10, 166.66, 10.000, 0.00000]
[TE Srinivasan (INDIA), 5, 28.57, 5.000, 0.00000]
[MP Stead (CAN), 5, 22.22, 5.000, 0.00000]
[GC Tonge (WI), 5, 62.5, 2.500, 0.00000]
[MDJ Walker (NZ), 10, 166.66, 10.000, 0.00000]
[WA Wisneski (NZ), 10, 58.82, 5.000, 0.00000]
[AK Zesers (AUS), 0, 71.42, 5.000, 0.00000]
[KK Ahmed (INDIA), 4.5, 52.94, 3.000, 0.00000]
[MJ Bennett (AUS), 3, 42.85, 2.250, 0.00000]
[SM Boland (AUS), 3, 40.9, 2.250, 0.00000]
[CE Bulfin (NZ), 9, 112.5, 4.500, 0.00000]
[SJ Cameron (SCOT), 9, 69.23, 4.500, 0.00000]
[SJ Chalmers (SCOT), 0, 64.28, 9.000, 0.00000]
[NA David (INDIA), 0, 90, 4.500, 0.00000]
[GN de Silva (SL), 9, 50, 4.500, 0.00000]
[GRA de Silva (SL), 4.5, 27.27, 2.250, 0.00000]
[DR Doshi (INDIA), 3, 45, 1.800, 0.00000]
[CJ Drum (NZ), 0, 40.9, 4.500, 0.00000]
[S Dube (INDIA), 9, 150, 9.000, 0.00000]
[Fahad Usman (UAE), 4.5, 50, 4.500, 0.00000]
[Faisal Athar (PAK), 9, 23.68, 9.000, 0.00000]
[SP Gauchan (NEPAL), 0, 20.45, 9.000, 0.00000]
[MJ Haslam (NZ), 9, 50, 9.000, 0.00000]
[AG Huckle (ZIM), 2.25, 56.25, 1.125, 0.00000]
[HR Johnson (USA), 9, 45, 4.500, 0.00000]
[Karim Janat (AFG), 9, 27.27, 9.000, 0.00000]
[JB Little (IRE), 4.5, 112.5, 4.500, 0.00000]
[DE Malcolm (ENG), 3, 81.81, 1.800, 0.00000]
[Mohammad Salim (BDESH), 9, 37.5, 9.000, 0.00000]
[PG Nana (EAf), 9, 20, 3.000, 0.00000]
[Naveen-ul-Haq (AFG), 9, 42.85, 3.000, 0.00000]
[Qadeer Ahmed (UAE), 4.5, 29.03, 1.500, 0.00000]
[LS Rajput (INDIA), 3, 29.03, 2.250, 0.00000]
[Rashid Zia (USA), 4.5, 15.78, 4.500, 0.00000]
[JA Snow (ENG), 4.5, 21.95, 2.250, 0.00000]
[OP Stone (ENG), 0, 128.57, 9.000, 0.00000]
[GP Sulzberger (NZ), 9, 60, 4.500, 0.00000]
[AJ Tudor (ENG), 9, 81.81, 4.500, 0.00000]
[VB van Jaarsveld (SA), 4.5, 60, 4.500, 0.00000]
[Zahid Hussain (CAN), 9, 29.03, 4.500, 0.00000]
[VR Aaron (INDIA), 8, 53.33, 2.667, 0.00000]
[Asif Iqbal (1) (UAE), 8, 100, 8.000, 0.00000]
[RA Austin (WI), 8, 61.53, 8.000, 0.00000]
[BS Browne (WI), 8, 33.33, 2.667, 0.00000]
[CJ Dala (SA), 8, 133.33, 4.000, 0.00000]
[H Davids (SA), 4, 33.33, 4.000, 0.00000]
[PA Desai (CAN), 2.66, 14.54, 1.000, 0.00000]
[R Dhanraj (WI), 8, 25, 4.000, 0.00000]
[P Dharmani (INDIA), 8, 100, 8.000, 0.00000]
[TL Fernando (SL), 8, 133.33, 8.000, 0.00000]
[JC Gamage (SL), 0, 88.88, 4.000, 0.00000]
[Gholam Nousher (BDESH), 8, 50, 2.667, 0.00000]
[Hafizur Rahman (BDESH), 8, 33.33, 8.000, 0.00000]
[ND Hirwani (INDIA), 2, 27.58, 1.143, 0.00000]
[KH Butt (HKG), 4, 28.57, 4.000, 0.00000]
[ACI Lock (ZIM), 8, 40, 2.667, 0.00000]
[MA Lynch (ENG), 2.66, 25, 2.667, 0.00000]
[CS Martin (NZ), 1.6, 29.62, 1.143, 0.00000]
[EZ Matambanadzo (ZIM), 4, 24.24, 1.600, 0.00000]
[MG Neser (AUS), 4, 50, 4.000, 0.00000]
[A Nortje (SA), 8, 44.44, 8.000, 0.00000]
[PDRL Perera (SL), 1.6, 44.44, 1.143, 0.00000]
[Rahat Ali (PAK), 2.66, 21.62, 1.143, 0.00000]
[SS Raul (INDIA), 4, 57.14, 4.000, 0.00000]
[CA Reid (USA), 4, 47.05, 4.000, 0.00000]
[RL Sanghvi (INDIA), 4, 72.72, 4.000, 0.00000]
[VRV Singh (INDIA), 8, 61.53, 8.000, 0.00000]
[Sohail Butt (UAE), 8, 57.14, 4.000, 0.00000]
[DS Steele (ENG), 8, 66.66, 8.000, 0.00000]
[DM Vonhagt (SL), 8, 47.05, 8.000, 0.00000]
[HS Williams (SA), 8, 72.72, 4.000, 0.00000]
[NP Kenjige (USA), 0, 233.33, 3.500, 0.00000]
[RW Ali (KENYA), 0, 25, 2.333, 0.00000]
[J Cameron-Dow (IRE), 0, 70, 7.000, 0.00000]
[KG Duers (ZIM), 7, 35, 3.500, 0.00000]
[Fazl-e-Akbar (PAK), 7, 87.5, 7.000, 0.00000]
[WCA Ganegama (SL), 3.5, 77.77, 3.500, 0.00000]
[DM Gondaria (KENYA), 3.5, 15.55, 3.500, 0.00000]
[JOA Gordon (CAN), 3.5, 25, 1.750, 0.00000]
[VR Hogg (ZIM), 0, 36.84, 7.000, 0.00000]
[AG Hurst (AUS), 0, 36.84, 1.750, 0.00000]
[Izatullah Dawlatzai (AFG), 3.5, 25.92, 2.333, 0.00000]
[SD Jack (SA), 3.5, 87.5, 3.500, 0.00000]
[Jahangir Alam Talukdar (BDESH), 0, 43.75, 7.000, 0.00000]
[MKGCP Lakshitha (SL), 7, 58.33, 3.500, 0.00000]
[Liaqat Ali (PAK), 7, 22.58, 7.000, 0.00000]
[DSK Madushanka (SL), 7, 116.66, 7.000, 0.00000]
[GA Manou (AUS), 7, 116.66, 7.000, 0.00000]
[PL Mhambrey (INDIA), 0, 140, 7.000, 0.00000]
[EA Moseley (WI), 1.75, 46.66, 1.167, 0.00000]
[JK Moss (AUS), 7, 43.75, 7.000, 0.00000]
[Nazmul Islam (BDESH), 7, 53.84, 7.000, 0.00000]
[M Pushpakumara (SL), 0, 36.84, 7.000, 0.00000]
[RA Reifer (WI), 7, 58.33, 7.000, 0.00000]
[IDK Salisbury (ENG), 7, 58.33, 3.500, 0.00000]
[BM Scholtz (NAM), 7, 33.33, 2.333, 0.00000]
[K Shuttleworth (ENG), 7, 36.84, 7.000, 0.00000]
[EHSN Silva (UAE), 7, 53.84, 7.000, 0.00000]
[NA Statham (NL), 2.33, 14, 2.333, 0.00000]
[RJW Topley (ENG), 7, 17.5, 1.400, 0.00000]
[RF van Oosterom (NL), 7, 25.92, 2.333, 0.00000]
[SG Whittingham (SCOT), 3.5, 41.17, 1.750, 0.00000]
[T Yohannan (INDIA), 0, 63.63, 3.500, 0.00000]
[MKDI Amerasinghe (SL), 0, 66.66, 1.500, 0.00000]
[Bhupinder Singh snr (INDIA), 6, 46.15, 6.000, 0.00000]
[IW Callen (AUS), 6, 46.15, 2.000, 0.00000]
[GD Campbell (AUS), 3, 31.57, 2.000, 0.00000]
[U Chatterjee (INDIA), 6, 20, 3.000, 0.00000]
[MT Chinouya (ZIM), 6, 75, 3.000, 0.00000]
[DDP D'Silva (UAE), 3, 42.85, 3.000, 0.00000]
[WP Diepeveen (NL), 6, 85.71, 6.000, 0.00000]
[SO Dowrich (WI), 6, 75, 6.000, 0.00000]
[CE Eksteen (SA), 0, 24, 3.000, 0.00000]
[Fahim Muntasir (BDESH), 3, 35.29, 2.000, 0.00000]
[AP Grayson (ENG), 3, 46.15, 3.000, 0.00000]
[Harilal Shah (EAf), 2, 10.71, 2.000, 0.00000]
[Harvinder Singh (INDIA), 1.5, 31.57, 1.200, 0.00000]
[M Hendrick (ENG), 1.2, 27.27, 0.600, 0.00000]
[CC Henry (CAN), 6, 42.85, 3.000, 0.00000]
[P Krishnamurthy (INDIA), 6, 46.15, 6.000, 0.00000]
[MJ North (AUS), 3, 31.57, 3.000, 0.00000]
[LN Oluoch (KENYA), 6, 100, 3.000, 0.00000]
[AK Patel (INDIA), 3, 54.54, 3.000, 0.00000]
[DB Rundle (SA), 3, 54.54, 3.000, 0.00000]
[R Shepherd (WI), 6, 66.66, 6.000, 0.00000]
[Usman Shinwari (PAK), 2, 85.71, 1.500, 0.00000]
[RJ Webb (NZ), 0, 60, 6.000, 0.00000]
[DJ Worrall (AUS), 0, 150, 6.000, 0.00000]
[Aijaz Ali (USA), 2.5, 45.45, 2.500, 0.00000]
[RT Crandon (WI), 5, 55.55, 5.000, 0.00000]
[N Fernandes (UAE), 5, 38.46, 5.000, 0.00000]
[R Illingworth (ENG), 2.5, 27.77, 2.500, 0.00000]
[Jalal-ud-Din (PAK), 2.5, 100, 2.500, 0.00000]
[Jubair Hossain (BDESH), 5, 55.55, 5.000, 0.00000]
[Khalid Khan (HKG), 2.5, 62.5, 2.500, 0.00000]
[H McLeod (EAf), 2.5, 50, 2.500, 0.00000]
[Mansoor Amjad (PAK), 5, 50, 5.000, 0.00000]
[Maqsood Rana (PAK), 5, 38.46, 5.000, 0.00000]
[Najeeb Tarakai (AFG), 5, 27.77, 5.000, 0.00000]
[Naumanullah (PAK), 5, 125, 5.000, 0.00000]
[Neeyamur Rashid (BDESH), 5, 100, 2.500, 0.00000]
[DJ Pringle (EAf), 2.5, 33.33, 2.500, 0.00000]
[LN Rajbanshi (NEPAL), 0, 25, 2.500, 0.00000]
[D Ramnarine (WI), 1.66, 38.46, 1.667, 0.00000]
[Sajjad Akbar (PAK), 5, 55.55, 5.000, 0.00000]
[L Sivaramakrishnan (INDIA), 2.5, 20.83, 1.250, 0.00000]
[G Snyman (NAM), 1.25, 55.55, 1.250, 0.00000]
[Talha Jubair (BDESH), 2.5, 33.33, 1.000, 0.00000]
[Tanbir Hayder (BDESH), 2.5, 31.25, 2.500, 0.00000]
[DJ Terbrugge (SA), 5, 35.71, 2.500, 0.00000]
[RK Whelan (IRE), 2.5, 41.66, 2.500, 0.00000]
[Al-Amin Hossain (BDESH), 2, 20, 0.571, 0.00000]
[LS Bhandari (NEPAL), 0, 44.44, 4.000, 0.00000]
[MI Black (WI), 2, 28.57, 2.000, 0.00000]
[PS Eaglestone (IRE), 4, 133.33, 4.000, 0.00000]
[Fawad Ahmed (AUS), 0, 200, 4.000, 0.00000]
[PJ Franks (ENG), 4, 23.52, 4.000, 0.00000]
[PLS Gamage (SL), 2, 14.81, 0.800, 0.00000]
[D Ganesh (INDIA), 4, 50, 4.000, 0.00000]
[WT Gavera (PNG), 0, 66.66, 4.000, 0.00000]
[Z Groenewald (NAM), 4, 21.05, 2.000, 0.00000]
[Gursharan Singh (INDIA), 4, 40, 4.000, 0.00000]
[SD Heazlett (AUS), 4, 36.36, 4.000, 0.00000]
[Jahangir Alam (BDESH), 1.33, 18.18, 1.333, 0.00000]
[ML Lewis (AUS), 0, 100, 4.000, 0.00000]
[CH Lonsdale (BMUDA), 4, 14.28, 4.000, 0.00000]
[Mohammad Nazir (PAK), 0, 25, 1.333, 0.00000]
[GK Pandey (INDIA), 4, 36.36, 2.000, 0.00000]
[PI Pocock (ENG), 4, 44.44, 4.000, 0.00000]
[LN Roche (ZIM), 2, 40, 2.000, 0.00000]
[AM Salvi (INDIA), 2, 28.57, 1.333, 0.00000]
[Samiur Rahman (BDESH), 2, 57.14, 2.000, 0.00000]
[BB Seebaran (CAN), 4, 30.76, 1.333, 0.00000]
[Shahzad Khan (CAN), 4, 33.33, 4.000, 0.00000]
[B Stanlake (AUS), 1.33, 14.28, 0.800, 0.00000]
[RW Staple (USA), 2, 36.36, 2.000, 0.00000]
[PJR Steyn (SA), 4, 28.57, 4.000, 0.00000]
[R Sudhakar Rao (INDIA), 4, 28.57, 4.000, 0.00000]
[S Sumar (EAf), 4, 36.36, 4.000, 0.00000]
[Tanveer Ahmed (HKG), 0, 36.36, 1.000, 0.00000]
[VAB Tewarie (NL), 4, 18.18, 4.000, 0.00000]
[GS Trimble (AUS), 4, 80, 2.000, 0.00000]
[T van der Gugten (NL), 2, 66.66, 2.000, 0.00000]
[S Vesawkar (NEPAL), 4, 26.66, 4.000, 0.00000]
[SL Watkin (ENG), 2, 17.39, 2.000, 0.00000]
[UWMBCA Welegedara (SL), 4, 44.44, 1.333, 0.00000]
[RPAH Wickramaratne (SL), 2, 66.66, 2.000, 0.00000]
[P Wilson (AUS), 1.33, 30.76, 0.800, 0.00000]
[M Zondeki (Afr/SA), 4, 80, 1.333, 0.00000]
[SA Abbott (AUS), 3, 42.85, 3.000, 0.00000]
[Abdullah Mazari (AFG), 3, 18.75, 3.000, 0.00000]
[Ali Khan (USA), 3, 27.27, 3.000, 0.00000]
[CR Amini (PNG), 0, 100, 3.000, 0.00000]
[RA Bhatti (CAN), 0, 75, 3.000, 0.00000]
[JWHD Boteju (SL), 3, 27.27, 1.500, 0.00000]
[NR Dyer (SCOT), 3, 21.42, 0.750, 0.00000]
[D Gamage (SL), 3, 30, 1.500, 0.00000]
[LJ Hamilton (NZ), 0, 50, 1.500, 0.00000]
[RT Hart (NZ), 3, 10.34, 3.000, 0.00000]
[PD Heyn (SL), 1.5, 15, 1.500, 0.00000]
[Ijaz Ahmed jnr (PAK), 0, 150, 3.000, 0.00000]
[Junaid Siddique (UAE), 3, 30, 1.500, 0.00000]
[CK Kruger (HKG), 1.5, 15, 1.500, 0.00000]
[Mahbubur Rahman (BDESH), 3, 37.5, 3.000, 0.00000]
[Mazharul Haque (BDESH), 3, 16.66, 3.000, 0.00000]
[MC Mendis (SL), 0, 150, 3.000, 0.00000]
[CT Mumba (ZIM), 3, 42.85, 1.500, 0.00000]
[DJ Murray (NZ), 3, 17.64, 3.000, 0.00000]
[SV Nayak (INDIA), 3, 15.78, 3.000, 0.00000]
[IE O'Brien (NZ), 0, 27.27, 1.500, 0.00000]
[Pankaj Singh (INDIA), 0, 100, 3.000, 0.00000]
[JM Patel (CAN), 1, 13.04, 1.000, 0.00000]
[MJ Petrie (SCOT), 1.5, 16.66, 1.500, 0.00000]
[GD Porter (AUS), 3, 33.33, 3.000, 0.00000]
[U Ranchod (ZIM), 0, 50, 3.000, 0.00000]
[RE Redmond (NZ), 3, 27.27, 3.000, 0.00000]
[Sagar Pun (NEPAL), 3, 15, 3.000, 0.00000]
[A Shamshudeen (CAN), 3, 10.71, 3.000, 0.00000]
[CEL Stuart (WI), 0, 23.07, 3.000, 0.00000]
[Usman Mushtaq (UAE), 3, 42.85, 3.000, 0.00000]
[JN Valentine (CAN), 0, 17.64, 1.500, 0.00000]
[CJPG van Zyl (SA), 3, 27.27, 1.500, 0.00000]
[Yamin Ahmadzai (AFG), 3, 15.78, 1.500, 0.00000]
[Zahid Ahmed (PAK), 3, 23.07, 1.500, 0.00000]
[MZ Zahir (CAN), 0, 23.07, 3.000, 0.00000]
[Zakiullah Zaki (AFG), 0, 13.63, 3.000, 0.00000]
[JP Agnew (ENG), 0, 66.66, 2.000, 0.00000]
[Ahmed Shah (AFG), 2, 20, 2.000, 0.00000]
[Anisur Rahman (BDESH), 1, 18.18, 1.000, 0.00000]
[HWR Cartwright (AUS), 1, 8.69, 1.000, 0.00000]
[DJ Cullen (AUS), 0, 66.66, 2.000, 0.00000]
[BR Dorey (AUS), 2, 25, 2.000, 0.00000]
[WJ Edwards (AUS), 2, 14.28, 2.000, 0.00000]
[Elias Sunny (BDESH), 1, 18.18, 0.500, 0.00000]
[Fahad Nawaz (UAE), 1, 20, 1.000, 0.00000]
[PG Gillespie (IRE), 0.5, 14.28, 0.500, 0.00000]
[AAW Gunawardena (SL), 2, 20, 2.000, 0.00000]
[R Hekure (PNG), 2, 25, 2.000, 0.00000]
[BE Hendricks (SA), 0, 25, 2.000, 0.00000]
[KC Hodsoll (BMUDA), 2, 28.57, 1.000, 0.00000]
[Hussain Talat (PAK), 2, 14.28, 2.000, 0.00000]
[Ibrahim Zadran (AFG), 2, 22.22, 2.000, 0.00000]
[Irfan Sajid (UAE), 2, 40, 2.000, 0.00000]
[Junaid Zia (PAK), 2, 28.57, 1.000, 0.00000]
[K Kamyuka (CAN), 2, 100, 2.000, 0.00000]
[Kashif Raza (PAK), 0, 100, 2.000, 0.00000]
[RJ Kirtley (ENG), 1, 18.18, 1.000, 0.00000]
[Masood Iqbal (PAK), 2, 100, 2.000, 0.00000]
[SC Meaker (ENG), 1, 12.5, 1.000, 0.00000]
[DWO Morgan (BMUDA), 1, 18.18, 1.000, 0.00000]
[Morshed Ali Khan (BDESH), 0, 50, 2.000, 0.00000]
[SP Mukherjee (INDIA), 0, 100, 2.000, 0.00000]
[Nadeem Khan (PAK), 2, 66.66, 2.000, 0.00000]
[Nasir Javed (USA), 0, 10.52, 2.000, 0.00000]
[DR O'Sullivan (NZ), 2, 40, 1.000, 0.00000]
[R Pathan (CAN), 2, 22.22, 2.000, 0.00000]
[MR Pydanna (WI), 0, 66.66, 2.000, 0.00000]
[ACL Richards (WI), 2, 100, 2.000, 0.00000]
[Sameer Zia (UAE), 0, 10, 2.000, 0.00000]
[JNK Shannon (IRE), 2, 25, 2.000, 0.00000]
[GJ Thompson (IRE), 1, 9.52, 1.000, 0.00000]
[PIC Thompson (WI), 2, 28.57, 2.000, 0.00000]
[MS Tshabalala (SA), 0, 66.66, 2.000, 0.00000]
[AP Weerakkody (SL), 2, 50, 2.000, 0.00000]
[MD Wettimuny (SL), 2, 18.18, 2.000, 0.00000]
[DF Whatmore (AUS), 2, 33.33, 2.000, 0.00000]
[AGD Wickremasinghe (SL), 2, 20, 2.000, 0.00000]
[Abdul Rehman (UAE), 1, 7.69, 1.000, 0.00000]
[Abu Hider (BDESH), 1, 9.09, 1.000, 0.00000]
[Alawi Shukri (UAE), 1, 33.33, 1.000, 0.00000]
[Aminul Islam jnr (BDESH), 0, 0, 1.000, 0.00000]
[PJ Bakker (NL), 0, 25, 1.000, 0.00000]
[KMC Bandara (SL), 0, 33.33, 1.000, 0.00000]
[Bilal Khan (OMAN), 1, 14.28, 0.500, 0.00000]
[GA Cope (ENG), 0, 100, 1.000, 0.00000]
[MC Cowdrey (ENG), 1, 20, 1.000, 0.00000]
[CI Dunusinghe (SL), 1, 100, 1.000, 0.00000]
[MTG Elliott (AUS), 1, 16.66, 1.000, 0.00000]
[Fareed Ahmad (AFG), 0, 16.66, 0.500, 0.00000]
[RS Ghai (INDIA), 1, 33.33, 1.000, 0.00000]
[Gurdeep Singh (KENYA), 1, 4.34, 1.000, 0.00000]
[Iqbal Sikander (PAK), 0, 33.33, 1.000, 0.00000]
[SA Jayasinghe (SL), 1, 33.33, 1.000, 0.00000]
[SP Jones (ENG), 1, 50, 1.000, 0.00000]
[S Kaul (INDIA), 0.5, 33.33, 0.500, 0.00000]
[B Laughlin (AUS), 0, 11.11, 1.000, 0.00000]
[SCG MacGill (AUS), 1, 33.33, 0.500, 0.00000]
[Mahmood Hamid (PAK), 1, 16.66, 1.000, 0.00000]
[GJ McCarter (IRE), 0, 100, 1.000, 0.00000]
[JM Mennie (AUS), 0.5, 25, 0.500, 0.00000]
[Mohammad Kashif (NL), 0.33, 5.88, 0.333, 0.00000]
[Moniruzzaman (BDESH), 0.5, 5, 0.500, 0.00000]
[PV Mpitsang (SA), 0, 100, 1.000, 0.00000]
[M Mulla (CAN), 1, 9.09, 1.000, 0.00000]
[W Mwayenga (ZIM), 0.5, 9.09, 0.500, 0.00000]
[DP Nannes (AUS), 1, 50, 1.000, 0.00000]
[Nasim-ul-Ghani (PAK), 1, 12.5, 1.000, 0.00000]
[NV Ojha (INDIA), 1, 14.28, 1.000, 0.00000]
[G Onions (ENG), 1, 50, 1.000, 0.00000]
[KA Patel (KENYA), 1, 25, 0.500, 0.00000]
[Y Punja (UAE), 1, 16.66, 1.000, 0.00000]
[RR Ramdass (WI), 1, 11.11, 1.000, 0.00000]
[SJ Roberts (NZ), 0, 50, 1.000, 0.00000]
[LC Romero (USA), 0.5, 14.28, 0.500, 0.00000]
[R Sharma (INDIA), 1, 50, 1.000, 0.00000]
[KJ Silva (SL), 0, 100, 1.000, 0.00000]
[AM Stuart (AUS), 1, 14.28, 1.000, 0.00000]
[Subashis Roy (BDESH), 0, 11.11, 1.000, 0.00000]
[JP Taylor (ENG), 1, 12.5, 1.000, 0.00000]
[LB Taylor (ENG), 0, 16.66, 1.000, 0.00000]
[JG Thomas (ENG), 1, 14.28, 0.333, 0.00000]
[S Tyagi (INDIA), 0, 50, 1.000, 0.00000]
[KPJ Warnaweera (SL), 0, 9.09, 0.333, 0.00000]
[BA Westdijk (NL), 0.5, 16.66, 0.333, 0.00000]
[J Yadav (INDIA), 0, 100, 1.000, 0.00000]
[NS Yadav (INDIA), 0, 6.25, 0.500, 0.00000]
[B Yograj Singh (INDIA), 0.5, 8.33, 0.250, 0.00000]
[Yunus Badat (EAf), 0.5, 14.28, 0.500, 0.00000]
[Aman Ali (UAE), 0, 0, 0.000, 0.00000]
[J Angel (AUS), 0, 0, 0.000, 0.00000]
[Anwar Hossain Monir (BDESH), 0, 0, 0.000, 0.00000]
[S Baksh (CAN), 0, 0, 0.000, 0.00000]
[MRCN Bandaratilleke (SL), 0, 0, 0.000, 0.00000]
[JE Benjamin (ENG), 0, 0, 0.000, 0.00000]
[A Bhandari (INDIA), 0, 0, 0.000, 0.00000]
[DL Blake (USA), 0, 0, 0.000, 0.00000]
[BP Bracewell (NZ), 0, 0, 0.000, 0.00000]
[RG Callender (CAN), 0, 0, 0.000, 0.00000]
[NM Carter (SCOT), 0, 0, 0.000, 0.00000]
[K Christie (HKG), 0, 0, 0.000, 0.00000]
[Fahad Alhashmi (UAE), 0, 0, 0.000, 0.00000]
[Fazle Mahmud (BDESH), 0, 0, 0.000, 0.00000]
[R Flannigan (SCOT), 0, 0, 0.000, 0.00000]
[LR Gibbs (WI), 0, 0, 0.000, 0.00000]
[N Gifford (ENG), 0, 0, 0.000, 0.00000]
[VD Grandia (NL), 0, 0, 0.000, 0.00000]
