[Arafat Sunny (BDESH), 12, 52.17, 4.364, 0.00000]
[Mohammad Irfan (PAK), 4, 32.21, 1.455, 0.00000]
[CB Mpofu (ZIM), 2.4, 23.76, 1.200, 0.00000]
[PC Strydom (SA), 9.6, 51.06, 6.000, 0.00000]
[A Codrington (CAN), 5.87, 51.08, 5.875, 0.00000]
[FA Dennis (CAN), 15.66, 27.48, 15.667, 0.00000]
[BGK Walker (NZ), 15.66, 59.49, 6.714, 0.00000]
[Jawahir Shah (EAf), 15.33, 40.35, 15.333, 0.00000]
[J Nyumbu (ZIM), 4.6, 51.68, 3.286, 0.00000]
[PP Ojha (INDIA), 23, 41.07, 4.600, 0.00000]
[Skhawat Ali (HKG), 11.5, 42.2, 11.500, 0.00000]
[Azeem Hafeez (PAK), 15, 43.26, 4.500, 0.00000]
[DA Murray (WI), 9, 32.14, 6.429, 0.00000]
[S Thuraisingam (CAN), 6.42, 41.66, 5.000, 0.00000]
[PJ Wiseman (NZ), 22.5, 54.21, 6.429, 0.00000]
[VR Brown (NZ), 14.66, 51.76, 14.667, 0.00000]
[NA de Groot (CAN), 7.33, 34.64, 7.333, 0.00000]
[Golam Faruq (BDESH), 22, 42.3, 11.000, 0.00000]
[RD McCann (IRE), 11, 57.14, 8.800, 0.00000]
[BP Patterson (WI), 8.8, 43.56, 2.200, 0.00000]
[S Sreesanth (INDIA), 4, 36.36, 2.095, 0.00000]
[JH Stander (SCOT), 11, 58.66, 8.800, 0.00000]
[HR Bryan (WI), 7.16, 60.56, 5.375, 0.00000]
[Faisal Hossain (BDESH), 10.75, 47.25, 8.600, 0.00000]
[AR Kapoor (INDIA), 7.16, 68.25, 7.167, 0.00000]
[A Mishra (INDIA), 5.37, 52.43, 3.909, 0.00000]
[Salman Faris (UAE), 14.33, 54.43, 14.333, 0.00000]
[SJ Swanepoel (NAM), 8.6, 45.74, 8.600, 0.00000]
[JN Maguire (AUS), 7, 59.15, 3.818, 0.00000]
[JL Pattinson (AUS), 10.5, 52.5, 5.250, 0.00000]
[MH Richardson (NZ), 10.5, 43.29, 10.500, 0.00000]
[JS Foster (ENG), 13.66, 57.74, 6.833, 0.00000]
[SP Heaney (CAN), 10.25, 44.56, 10.250, 0.00000]
[PA Hitchcock (NZ), 10.25, 67.21, 5.857, 0.00000]
[Mehmood Quaraishy (EAf), 20.5, 26.62, 13.667, 0.00000]
[Shafiq Ahmed (PAK), 13.66, 45.05, 13.667, 0.00000]
[Taskin Ahmed (BDESH), 4.1, 41.41, 2.563, 0.00000]
[SR Welsh (CAN), 20.5, 52.56, 13.667, 0.00000]
